Brand,Model,Year,Mileage,Fuel_Type,Transmission,Price
Hyundai,Elantra,2023,8.8,Diesel,Automatic,424611.2
Mercedes,Benz C-Class,2023,10.2,Petrol,Manual,410175.7
Hyundai,Elantra,2022,20.0,Diesel,Manual,200547.1
Mercedes,Benz C-Class,2022,15.3,Petrol,Manual,422322.1
Ford,Focus,2025,7.9,Petrol,Manual,475184.3
Kia,Seltos,2020,9.2,Diesel,Manual,264401.9
Hyundai,Elantra,2025,13.4,Petrol,Manual,266561.9
Honda,Civic,2023,17.1,Petrol,Automatic,286181.9
BMW,3 Series,2020,19.6,Petrol,Automatic,431673.1
Nissan,Altima,2021,14.2,Diesel,Automatic,421542.5
Audi,A4,2025,8.2,Diesel,Automatic,426424.7
Kia,Seltos,2020,10.7,Diesel,Automatic,473703.5
Nissan,Altima,2021,6.5,Petrol,Automatic,436935.4
Ford,Focus,2020,9.8,Diesel,Manual,479907.3
Mercedes,Benz C-Class,2025,16.3,Diesel,Manual,483451.9
Nissan,Altima,2021,19.7,Petrol,Manual,341005.3
Ford,Focus,2022,12.2,Diesel,Manual,449878.0
Kia,Seltos,2022,8.5,Diesel,Manual,455776.7
Honda,Civic,2021,10.4,Petrol,Automatic,414686.6
Ford,Focus,2025,13.6,Petrol,Automatic,410825.8
Honda,Civic,2021,5.3,Petrol,Automatic,335212.8
Mercedes,Benz C-Class,2021,15.0,Petrol,Automatic,314346.5
Kia,Seltos,2020,6.9,Petrol,Manual,396526.0
Mercedes,Benz C-Class,2020,6.6,Petrol,Manual,334035.0
Volkswagen,Golf,2020,15.0,Diesel,Automatic,452577.7
Nissan,Altima,2024,10.4,Petrol,Manual,432918.5
Nissan,Altima,2023,8.5,Petrol,Manual,205911.0
Kia,Seltos,2025,8.2,Diesel,Manual,407337.7
Toyota,Corolla,2024,8.7,Petrol,Manual,490383.3
BMW,3 Series,2022,12.3,Diesel,Manual,489394.6
Honda,Civic,2022,15.0,Petrol,Automatic,368184.9
Kia,Seltos,2023,13.9,Diesel,Automatic,310384.3
Audi,A4,2020,15.4,Petrol,Automatic,239489.9
Mercedes,Benz C-Class,2023,7.0,Petrol,Manual,448877.7
Ford,Focus,2020,6.7,Petrol,Manual,276462.8
Mercedes,Benz C-Class,2022,17.1,Petrol,Automatic,498849.5
Honda,Civic,2025,11.3,Petrol,Automatic,392295.2
Nissan,Altima,2020,14.8,Petrol,Automatic,483156.5
Ford,Focus,2024,16.7,Petrol,Manual,458276.0
Nissan,Altima,2024,9.9,Petrol,Automatic,392645.3
Toyota,Corolla,2024,5.3,Diesel,Automatic,404763.8
Hyundai,Elantra,2025,9.9,Petrol,Manual,382093.2
Volkswagen,Golf,2024,14.9,Petrol,Automatic,461207.6
Volkswagen,Golf,2021,5.8,Petrol,Automatic,241752.8
Hyundai,Elantra,2024,9.7,Petrol,Manual,480914.0
Volkswagen,Golf,2025,17.4,Diesel,Manual,426745.2
BMW,3 Series,2023,10.3,Diesel,Manual,476477.5
Ford,Focus,2024,9.4,Petrol,Manual,242209.6
Hyundai,Elantra,2022,17.2,Petrol,Automatic,242860.7
BMW,3 Series,2023,8.1,Petrol,Automatic,446010.1
Ford,Focus,2020,8.8,Petrol,Manual,244732.7
Toyota,Corolla,2021,13.1,Diesel,Automatic,391436.2
Toyota,Corolla,2023,15.2,Diesel,Automatic,328544.4
Audi,A4,2024,10.4,Petrol,Manual,317647.9
Ford,Focus,2024,8.1,Petrol,Manual,413095.9
Honda,Civic,2024,8.4,Diesel,Automatic,347191.6
Audi,A4,2024,8.7,Petrol,Manual,304531.2
Toyota,Corolla,2025,11.4,Petrol,Automatic,472151.4
Honda,Civic,2022,15.2,Diesel,Automatic,436371.0
Kia,Seltos,2022,8.1,Diesel,Manual,357231.6
Honda,Civic,2024,11.2,Petrol,Manual,417457.9
Toyota,Corolla,2025,6.0,Petrol,Manual,316602.6
